neighbourhood,id,price,review_scores_rating,population,number_of_reviews,house_price,latitude,longitude
Alhambra,11339362.42857143,79.93650793650794,93.96825396825396,44908.23809523809,25.6984126984127,664700.0,34.08516923507936,-118.13427840634925
Alondra Park,18638549.0,195.0,100.0,34924.0,1.0,650300.0,33.88758085,-118.34143359999999
Altadena,11512800.917647058,143.72941176470587,96.4,36109.85882352941,19.352941176470587,830800.0,34.189573769176484,-118.13252382705878
Arcadia,10290817.905660378,118.88679245283019,90.98113207547169,33765.47169811321,11.735849056603774,1065000.0,34.13241264830189,-118.03724241320758
Arleta,14981316.0,35.0,97.0,69817.0,7.0,515800.0,34.25026268,-118.4508725
Arts District,11034472.818181818,130.54545454545453,94.25,20810.340909090908,25.65909090909091,615600.0,34.04491332477273,-118.23450405454551
Atwater Village,11912719.606557377,124.50819672131148,94.75409836065573,28514.0,36.59016393442623,990400.0,34.116917562295086,-118.26054967049181
Azusa,13747099.166666666,71.33333333333333,96.0,59705.0,9.666666666666666,470200.0,34.13842434833334,-117.90879669166668
Baldwin Hills,11373806.611111112,153.16666666666666,93.72222222222223,36568.38888888889,13.944444444444445,973000.0,34.013655897777774,-118.35753199999999
Baldwin Park,14345192.0,70.0,100.0,76571.0,5.5,470300.0,34.081141325000004,-117.97469414999999
Bel Air/Beverly Crest,10348998.461538462,420.9091025641026,94.74358974358974,20042.153846153848,17.91025641025641,3273000.0,34.10115940166667,-118.42053723076926
Bell,4481427.0,62.0,96.0,101279.0,103.0,445900.0,33.97119436,-118.1880057
Bellflower,11576127.6,90.6,93.6,76615.0,8.2,523700.0,33.895996428000004,-118.1254872
Beverly Hills,11513872.209876543,214.51216049382717,94.23456790123457,14062.543209876543,19.320987654320987,3453900.0,34.067632171913566,-118.39404972962969
Boyle Heights,12621631.666666666,70.4047619047619,91.30952380952381,49792.357142857145,27.571428571428573,451500.0,34.047863200476186,-118.21488129523806
Bradbury,8657706.75,350.2475,91.0,1391.0,29.5,3300000.0,34.14692787999999,-117.969060675
Brentwood,11263810.846153846,169.2499038461538,94.82692307692308,34767.32692307692,21.01923076923077,2580000.0,34.0524927101923,-118.46942896538465
Burbank,11549085.141791046,107.26119402985074,96.3955223880597,24490.29104477612,33.82089552238806,832500.0,34.17339229798509,-118.32707081716414
Cahuenga Pass,11592541.9375,277.061875,96.46875,24562.0625,29.546875,1776300.0,34.12966186078125,-118.35597413750001
Canoga Park,11927647.5,83.6875,92.6875,37082.0,15.5,538100.0,34.208485859375,-118.60705008125001
Carson,10097427.818181818,73.72727272727273,96.81818181818181,48725.27272727273,54.45454545454545,555100.0,33.83186375181819,-118.26117510000003
Cerritos,13901003.083333334,95.83333333333333,95.83333333333333,42146.25,26.5,733700.0,33.85743014583333,-118.06884674166669
Chatsworth,11529274.0,113.5,90.5,42858.0,11.666666666666666,644200.0,34.24795013666667,-118.59520383333334
Commerce,8381377.0,79.0,96.0,12520.0,14.0,464200.0,34.00609482,-118.15799240000001
Compton,12020847.75,55.25,99.0,47151.25,13.5,416200.0,33.900102605,-118.22642739999999
Covina,10862243.727272727,48.18181818181818,95.72727272727273,23365.454545454544,27.181818181818183,534300.0,34.08629573090909,-117.88343024545453
Culver City,11363426.8,123.976,96.496,28613.376,38.36,1148600.0,34.00819168296,-118.40321202879996
Cypress Park,8806168.818181818,88.63636363636364,95.54545454545455,45527.0,39.63636363636363,666600.0,34.093144542727266,-118.22750808181819
Del Rey,11276175.99408284,130.6094674556213,93.59171597633136,46105.952662721895,33.710059171597635,585400.0,33.98985416177512,-118.42548447100594
Downey,11204955.555555556,66.44444444444444,98.66666666666667,37135.333333333336,28.77777777777778,577500.0,33.94227751888888,-118.12790588888889
Downtown,10324810.263843648,169.48205211726386,94.60912052117264,16111.8664495114,30.622149837133552,615600.0,34.04579924348532,-118.25384297263844
Duarte,8860119.2,70.6,97.6,26074.0,5.4,527400.0,34.139495034,-117.96040916000001
Eagle Rock,10687521.32142857,106.27380952380952,95.23809523809524,33727.42857142857,46.154761904761905,891600.0,34.13371887571429,-118.20549782976192
East Hollywood,11404116.48951049,96.81118881118881,93.17482517482517,41993.81118881119,27.06993006993007,882400.0,34.09335724874128,-118.29553570139862
East Los Angeles,11659585.736842105,89.47368421052632,95.89473684210526,57207.47368421053,33.31578947368421,462300.0,34.040387979473685,-118.17573799473683
East San Gabriel,10256698.4,117.0,94.0,23988.0,20.4,764300.0,34.121248920000006,-118.07526448000002
Echo Park,11214753.549132949,123.49421965317919,95.44508670520231,63919.18208092485,36.8150289017341,878300.0,34.080126818468216,-118.25743862601155
El Monte,10170370.933333334,78.53333333333333,95.2,50787.666666666664,30.133333333333333,507200.0,34.072827862666664,-118.02317915333333
El Segundo,11519911.960784314,121.66666666666667,94.82352941176471,17016.37254901961,40.72549019607843,1254700.0,33.921009123921586,-118.4137897392157
El Sereno,12084242.884615384,90.61538461538461,93.46153846153847,45786.0,25.23076923076923,612100.0,34.08386708884614,-118.17548001923078
Elysian Valley,11541450.785714285,124.0,98.14285714285714,32371.85714285714,23.285714285714285,722700.0,34.098188885714286,-118.2416430142857
Encino,8943052.75925926,263.4437037037037,96.12962962962963,21541.925925925927,16.35185185185185,984000.0,34.15998463388889,-118.50324011296296
Florence-Graham,16110176.5,77.0,92.5,57110.0,8.0,380300.0,33.979590560000005,-118.24139755
Gardena,11988310.976744186,57.44186046511628,93.25581395348837,42256.72093023256,17.372093023255815,564600.0,33.89514861302325,-118.30343795348837
Glassell Park,11093607.078947369,115.44736842105263,96.55263157894737,45527.0,23.157894736842106,808400.0,34.11343772289473,-118.23171035263155
Glendale,11694929.04225352,136.38732394366198,95.43661971830986,24741.204225352114,26.04225352112676,854100.0,34.1621919762676,-118.25491144507039
Glendora,13765921.916666666,127.58333333333333,97.5,25824.0,13.5,609600.0,34.140112133333325,-117.86688619166665
Granada Hills North,10906034.266666668,113.0,92.53333333333333,50458.333333333336,26.666666666666668,649800.0,34.27166194666666,-118.50109571333331
Harbor City,9590521.0,88.28571428571429,97.71428571428571,24865.714285714286,34.42857142857143,565300.0,33.797255698571426,-118.30316594285715
Harbor Gateway,12012043.375,74.8125,96.25,37993.9375,23.875,552900.0,33.838518217499995,-118.30496161875003
Hawaiian Gardens,12623807.5,107.5,96.5,14184.0,18.5,427600.0,33.829715825,-118.0754881
Hawthorne,10956174.743589744,93.48717948717949,91.12820512820512,84854.51282051283,26.487179487179485,653700.0,33.9202808925641,-118.36212185128205
Hermon,14439264.272727273,88.27272727272727,95.54545454545455,62430.0,13.727272727272727,730100.0,34.10546751454546,-118.18221333636362
Hermosa Beach,12274958.153846154,278.43046153846154,95.53846153846153,20062.830769230768,23.661538461538463,1602600.0,33.862915387846144,-118.39730962153847
Highland Park,11282004.237410072,99.5179856115108,96.36690647482014,62430.0,29.057553956834532,796400.0,34.11700044258993,-118.19400353741005
Hollywood,11242570.612149533,125.85514018691589,93.11121495327103,34053.70280373832,34.230841121495324,882400.0,34.09789095535516,-118.33110762943924
Hollywood Hills,11818955.662303666,227.6359947643979,95.14397905759162,27389.1832460733,31.17801047120419,1776300.0,34.11207947371728,-118.33261148691092
Huntington Park,8327410.666666667,46.333333333333336,98.0,75066.0,48.0,1776300.0,33.982949203333334,-118.22637333333334
